loss,learning_rate,weight_decay,beta_a,beta_b,dropout,warmup_len,label_smoothing,batch_accum,n_head_pow,n_layers,lang,arch
7.969059972665239,0.003974393031992688,1.0,0.99999999,0.9,0.0750641150707681,0.0,0.37686651141186206,1,5,6,ru,electra
4.083648454406791,0.001326663497285522,0.2750199560605341,0.9379119423048069,0.9646061330722177,0.6289125842846555,0.41249813484018394,0.266741398980186,58,0,4,ru,electra
4.160227160802977,0.006959305329305041,0.884519385623145,0.9828750041631209,0.9039400134469466,0.4745693979298434,0.7804982608447024,0.3391070356429588,81,5,1,ru,electra
4.0464308570060314,0.0028785630906024494,0.547834233934065,0.9655368398696044,0.9321046728179476,0.2850828039447746,0.40596492856577027,0.04485060222996499,53,2,3,ru,electra
4.128461080868478,0.002821613495042653,0.48197807540784354,0.9,0.9681174480850329,0.1841683264679858,0.5776871413614162,0.0,54,1,4,ru,electra
4.567809432526211,0.011740978926331346,0.0,0.9,0.9846127884315178,0.0,1.0,0.0,100,1,1,ru,electra
4.4287926304124206,0.005441190496541783,0.0,0.9631942981882874,0.9072212149718603,0.06317478020398952,0.5456618985284056,0.0,100,4,2,ru,electra
4.821541934442907,0.0018170035793183765,1.0,0.99999999,0.9335129455545087,0.8921247004957511,0.24392693057411852,0.5805821263055313,4,2,4,ru,electra
3.9650293320455554,0.003083533070905404,0.7686276137236259,0.9737087863148798,0.9061871737768658,0.0,0.2684116586783773,0.0,34,2,3,ru,electra
4.251315723586153,0.006648928205067767,0.7545676135088593,0.99999999,0.9,0.0,0.8286958613739799,0.0,32,3,1,ru,electra
3.925064758848714,0.0016586206792845103,0.6832876280119996,0.9610788162165124,0.9307132116006044,0.0,0.012842626903297518,0.13861628308840848,35,2,5,ru,electra
3.9328375222282657,0.001484102549845774,0.7340299350533009,0.99999999,0.9403912680632021,0.0,0.07907064028121571,0.0,31,2,6,ru,electra
4.258662218175252,0.002011291947894017,0.9995200428560684,0.99999999,0.9135281122082747,0.0,0.0,0.0,24,2,5,ru,electra
4.0763398552012005,0.0019136485256927391,0.36129377523865697,0.9366963918690275,0.9382943587944103,0.5638102262284562,0.567131414358176,0.5162936458244567,35,2,3,ru,electra
4.496953918335378,0.0019396134198100337,0.8035205172931753,0.9289374517423226,0.9172019929033604,0.4087006343001124,0.6012374256178828,0.709496641743214,49,3,1,ru,electra
4.0982077388507205,0.0014039676900383887,0.7831111219930355,0.99999999,0.9788144377298054,0.0,0.23586075182537572,0.0,100,0,6,ru,electra
4.017844770428768,0.0005154068464400885,0.8082172162657685,0.99999999,0.922570388091408,0.03291830663335907,0.0,0.0,34,1,4,ru,electra
4.136414238117385,8.055531558868048e-05,0.47279827334023034,0.99999999,0.958253296056776,0.0,0.20080766476855158,0.0,8,0,6,ru,electra
6.2160741309620775,0.0005503411018346127,0.585084439673366,0.99999999,0.99999999,0.0,0.0,0.0,78,0,6,ru,electra
4.171590001791997,0.0012487691047760095,0.4078888810847516,0.99999999,0.9,0.3763707720466133,0.0,0.0,48,1,3,ru,electra
4.093404744769454,0.0025591272578151733,0.6911590280327833,0.9855810276541016,0.9277317442512771,0.5357500306153855,0.3408799613489346,0.278636012131712,22,2,4,ru,electra
8.04681457904271,0.004768612828362137,0.25613476883726916,0.99999999,0.9897923631698726,0.10261172501512077,0.0,0.962011474662322,91,5,6,ru,electra
4.211661519910158,0.0017989345061172164,0.5222250928967812,0.9946227988289467,0.9631279600764089,0.1472623746796422,0.6670156918132232,0.0,100,0,4,ru,electra
3.981660678991669,0.0019633338232302165,0.617381698215837,0.9877010095555374,0.9239775532859975,0.14769071576563916,0.24630508368335563,0.0,34,2,4,ru,electra
4.075003168799309,0.0016366749832179219,0.488662788485739,0.99999999,0.9312743772551297,0.06307373739330736,0.13149068461500127,0.0,36,2,4,ru,electra
3.9518404466401824,0.0017540436057418968,0.7748429818009931,0.99999999,0.9294688203173371,0.15597831641303467,0.39993746738971975,0.0,36,2,6,ru,electra
6.939970196208103,0.0018810081991898079,1.0,0.99999999,0.930435231637701,0.0,0.0,0.0,36,2,6,ru,electra
