loss,learning_rate,weight_decay,beta_a,beta_b,dropout,warmup_len,batch_accum,n_head_pow,n_layers,lang,arch
1.1274730681484821,0.00010497595630699588,1.0,0.99999999,0.9,0.9,0.0,1,5,1,it,sgns
1.13366275583529,0.04952815244239109,1.0,0.99999999,0.9,0.0,1.0,100,5,1,it,sgns
1.1280392270462185,3.164674079917175e-05,0.7539320592071127,0.99999999,0.9,0.9,0.0,1,1,4,it,sgns
1.1022645136959413,0.0024079012916697587,1.0,0.9,0.9,0.9,1.0,1,5,6,it,sgns
1.1347402969996134,0.009754187180035572,1.0,0.99999999,0.99999999,0.0,1.0,1,5,6,it,sgns
1.1329668719254289,0.2835743642984834,0.0,0.9,0.9,0.9,1.0,100,0,1,it,sgns
1.200172929062563,0.8924724717953304,0.00803787133115165,0.9,0.9,0.0,0.0,100,5,1,it,sgns
1.1325228094119653,0.4457346364047543,1.0,0.99999999,0.99999999,0.9,1.0,1,0,6,it,sgns
1.1274571191984064,0.1378503964279154,0.889706868744489,0.9,0.9,0.9,1.0,1,5,1,it,sgns
1.1366734823058633,0.06719170219157795,1.0,0.9,0.99999999,0.9,1.0,100,5,6,it,sgns
1.132127853758195,0.026489551878264486,1.0,0.9,0.99999999,0.5990397323334161,1.0,9,5,1,it,sgns
1.1299922315840627,0.8554048692867043,0.0,0.99999999,0.9,0.9,1.0,1,5,6,it,sgns
1.1299245190807417,0.0017029699190647847,1.0,0.99999999,0.9,0.9,0.48606853263673355,1,5,6,it,sgns
1.203366688634835,2.1687397188759934e-05,1.0,0.9499250731518835,0.9185395686066061,0.9,0.7133766566334373,26,5,6,it,sgns
1.110870652367087,2.8051850302812898e-05,1.0,0.9,0.9,0.9,0.01704828358731013,1,4,6,it,sgns
1.104413275128486,0.0036136562152268466,1.0,0.9,0.9,0.33953118260511733,1.0,1,5,3,it,sgns
1.1148410107481714,2.9513096430081385e-05,1.0,0.9,0.9,0.9,0.8275628493894184,1,5,1,it,sgns
1.1378306719368578,0.8126219681165507,1.0,0.99999999,0.9,0.9,1.0,100,0,3,it,sgns
1.139296864097025,0.00484430455156498,1.0,0.9,0.9,0.0,0.9757192117228585,100,5,6,it,sgns
1.121400764626615,0.08526383833698695,0.0,0.9,0.9,0.0,1.0,1,5,1,it,sgns
1.1295296804250456,0.0035211771372565207,1.0,0.9,0.99999999,0.9,0.18374278459992924,1,5,4,it,sgns
1.1061632248163222,0.011467041919209197,0.983955681547468,0.9,0.9,0.0,1.0,1,3,1,it,sgns
1.1421073089277043,1.0,1.0,0.913286079496077,0.99999999,0.9,1.0,100,5,6,it,sgns
